Capacitance Test;;;Directory: C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs
missing_files;not_matched;without_pixel_gain;yield;number_of_tests;passed_tests;failed_tests
[];[];[];0.811;37;30;7

types_order: ;blob

Config
blob.BlobConfig;;blob.PxlCtrlInfo;
blob_threshold;max_number_of_blob_pixels;pixel_gain;max_pixel_gain
3.5000000480067683e-06;7;3;3

Result
;;;dead_pixels_list;;;;blob.CapacitanceResult;;;;;;;;;;;blob.BlobResult;;;;;
test_id;file_paths;pass;num_dead_pixels;dead_pixels_index_list;list_max_size;is_initialized;min;min5;median;max5;max;vdd_tx;uniformity_level;signal_strength;capacitance_size;capacitance_image;capacitance_image_float;number_of_blob_pixels;detection_image;blob_image;width;height;pass
20170626-102320-979;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102320-979_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102320-979_painted.png;True;0;[];5000;1;0.600262463092804;0.6324913501739502;0.6969490647315979;0.7291778922080994;0.7614067792892456;1.8;0.1387282757476461;0.6969490647315979;11264;-;-;0;[];[];64;176;True
20170626-102351-229;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102351-229_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102351-229_painted.png;True;0;[];5000;1;0.4278380870819092;0.44475823640823364;0.4931015372276306;0.5124388337135315;0.5269418358802795;1.8;0.137254890110096;0.4931015372276306;11264;-;-;0;[];[];64;176;True
20170626-102612-668;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102612-668_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102612-668_painted.png;True;0;[];5000;1;0.4085007905960083;0.430255264043808;0.47859853506088257;0.49793586134910583;0.5100216865539551;1.8;0.14141413386626475;0.47859853506088257;11264;-;-;0;[];[];64;176;True
20170626-102707-589;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102707-589_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102707-589_painted.png;True;0;[];5000;1;0.4109179377555847;0.430255264043808;0.4882672131061554;0.5124388337135315;0.529358983039856;1.8;0.16831678938035877;0.4882672131061554;11264;-;-;0;[];[];64;176;True
20170626-102944-292;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102944-292_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102944-292_painted.png;True;0;[];5000;1;0.4036664366722107;0.42300376296043396;0.47134706377983093;0.4906843602657318;0.5051873326301575;1.8;0.1435897293229175;0.47134706377983093;11264;-;-;0;[];[];64;176;True
20170626-103016-599;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103016-599_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103016-599_painted.png;True;0;[];5000;1;0.4012492895126343;0.42542093992233276;0.49551868438720703;0.5124388337135315;0.529358983039856;1.8;0.17560971267675027;0.49551868438720703;11264;-;-;0;[];[];64;176;True
20170626-103615-346;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103615-346_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103615-346_painted.png;True;0;[];5000;1;0.4012492895126343;0.42542093992233276;0.4931015372276306;0.5124388337135315;0.529358983039856;1.8;0.1764705384624032;0.4931015372276306;11264;-;-;0;[];[];64;176;True
20170626-103822-668;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103822-668_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103822-668_painted.png;True;0;[];5000;1;0.381911963224411;0.4085007905960083;0.44959256052970886;0.47376421093940735;0.49793586134910583;1.8;0.14516125504057684;0.44959256052970886;11264;-;-;0;[];[];64;176;True
20170626-103850-414;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103850-414_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-103850-414_painted.png;True;0;[];5000;1;0.38674628734588623;0.4060836136341095;0.47618138790130615;0.5003530383110046;0.5148560404777527;1.8;0.19796957015135064;0.47618138790130615;11264;-;-;0;[];[];64;176;True
20170626-104014-769;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104014-769_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104014-769_painted.png;False;0;[];5000;1;0.11844105273485184;0.36257466673851013;0.4906843602657318;0.5124388337135315;0.529358983039856;1.8;0.3054186746320219;0.4906843602657318;11264;-;-;86;[(3, 0.00010698069672798738), (4, 0.00022553667076863348), (5, 0.0001721670269034803), (6, 7.47929370845668e-05), (7, 2.1155381546122953e-05), (8, 4.064528184244409e-06), (14, 2.4960174414445646e-05), (15, 0.00010130260488949716), (16, 0.0002261986373923719), (17, 0.00023504480486735702), (18, 2.6562724087852985e-05), (56, 5.659631278831512e-05), (57, 0.0002879747189581394), (58, 0.0003588727267924696), (59, 0.00029775479924865067), (60, 0.00021029452909715474), (61, 0.0001089060097001493), (67, 1.1835541045002174e-05), (68, 0.0001240050041815266), (69, 0.00012766111467499286), (70, 7.542189268860966e-05), (71, 3.463385655777529e-05), (72, 1.5399458789033815e-05), (73, 7.0530713855987415e-06), (74, 3.5324883356224746e-06), (76, 5.900593805563403e-06), (77, 1.5368063031928614e-05), (78, 4.1991159378085285e-05), (79, 0.00010212153574684635), (80, 0.00016723682347219437), (81, 0.00012379451072774827), (121, 8.851185702951625e-05), (122, 0.0001820878533180803), (123, 0.00019103380327578634), (124, 0.0001523966493550688), (125, 7.750446820864454e-05), (128, 1.884427183540538e-05), (132, 1.619301110622473e-05), (133, 6.621078500756994e-05), (134, 7.665305747650564e-05), (135, 6.71759553370066e-05), (136, 5.280572077026591e-05), (137, 3.923726035282016e-05), (138, 3.0353510737768374e-05), (139, 2.924130421888549e-05), (140, 3.7991903809597716e-05), (141, 5.7899906096281484e-05), (142, 8.578892447985709e-05), (143, 0.00010748679051175714), (144, 8.955983503255993e-05), (145, 7.056902177282609e-06), (187, 9.823341315495782e-06), (188, 1.690781573415734e-05), (189, 6.052143362467177e-06), (191, 7.643015123903751e-06), (192, 2.484935976099223e-05), (198, 4.2368705180706456e-05), (199, 7.453779107891023e-05), (200, 8.944416185840964e-05), (201, 9.024018800118938e-05), (202, 8.557713590562344e-05), (203, 8.412395254708827e-05), (204, 9.020133438752964e-05), (205, 0.00010071817087009549), (206, 9.969474922399968e-05), (207, 6.600227789022028e-05), (254, 1.6875099390745163e-05), (255, 7.510664727305993e-05), (256, 6.639295861532446e-06), (263, 1.1708746569638606e-05), (264, 5.0344900955678895e-05), (265, 7.796217687427998e-05), (266, 9.058897558134049e-05), (267, 9.066461643669754e-05), (268, 8.120677375700325e-05), (269, 6.121102342149243e-05), (270, 2.399734512437135e-05), (318, 1.2659036656259559e-05), (319, 5.315961971064098e-05), (382, 4.444460500963032e-06), (383, 1.8043641830445267e-05), (447, 3.9008377825666685e-06), (448, 9.989384125219658e-06), (512, 2.776922337943688e-05), (576, 3.0224391593947075e-05), (640, 1.371483722323319e-05)];[(3, 255), (4, 255), (5, 255), (6, 255), (7, 255), (8, 255), (14, 255), (15, 255), (16, 255), (17, 255), (18, 255), (56, 255), (57, 255), (58, 255), (59, 255), (60, 255), (61, 255), (67, 255), (68, 255), (69, 255), (70, 255), (71, 255), (72, 255), (73, 255), (74, 255), (76, 255), (77, 255), (78, 255), (79, 255), (80, 255), (81, 255), (121, 255), (122, 255), (123, 255), (124, 255), (125, 255), (128, 255), (132, 255), (133, 255), (134, 255), (135, 255), (136, 255), (137, 255), (138, 255), (139, 255), (140, 255), (141, 255), (142, 255), (143, 255), (144, 255), (145, 255), (187, 255), (188, 255), (189, 255), (191, 255), (192, 255), (198, 255), (199, 255), (200, 255), (201, 255), (202, 255), (203, 255), (204, 255), (205, 255), (206, 255), (207, 255), (254, 255), (255, 255), (256, 255), (263, 255), (264, 255), (265, 255), (266, 255), (267, 255), (268, 255), (269, 255), (270, 255), (318, 255), (319, 255), (382, 255), (383, 255), (447, 255), (448, 255), (512, 255), (576, 255), (640, 255)];64;176;False
20170626-104047-357;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104047-357_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104047-357_painted.png;True;0;[];5000;1;0.592205286026001;0.6324913501739502;0.6848632097244263;0.7291778922080994;0.7614067792892456;1.8;0.14117642860835478;0.6848632097244263;11264;-;-;0;[];[];64;176;True
20170626-104117-188;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104117-188_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104117-188_painted.png;True;0;[];5000;1;0.4109179377555847;0.4326724112033844;0.4834328591823578;0.5003530383110046;0.5172731876373291;1.8;0.1400000554825549;0.4834328591823578;11264;-;-;0;[];[];64;176;True
20170626-104326-115;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104326-115_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104326-115_painted.png;True;0;[];5000;1;0.5559477806091309;0.5841480493545532;0.6969490647315979;0.7251493334770203;0.7493209838867188;1.8;0.2023121792648765;0.6969490647315979;11264;-;-;0;[];[];64;176;True
20170626-104422-663;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104422-663_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104422-663_painted.png;True;0;[];5000;1;0.39158064126968384;0.4109179377555847;0.4665127098560333;0.4906843602657318;0.5051873326301575;1.8;0.17098445728255326;0.4665127098560333;11264;-;-;0;[];[];64;176;True
20170626-104528-157;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104528-157_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104528-157_painted.png;True;0;[];5000;1;0.38916346430778503;0.4085007905960083;0.4592612385749817;0.47859853506088257;0.4906843602657318;1.8;0.15263152771694163;0.4592612385749817;11264;-;-;0;[];[];64;176;True
20170626-104636-561;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104636-561_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104636-561_painted.png;False;0;[];5000;1;-0.4068893492221832;0.6566630005836487;0.6888918280601501;0.7211207151412964;0.7493209838867188;1.8;0.09356725095600876;0.6888918280601501;11264;-;-;9;[(5296, 9.060408046934754e-05), (5297, 0.0003076325810980052), (5298, 8.523593714926392e-05), (5360, 0.000311202893499285), (5361, 0.000710131018422544), (5362, 0.0003037953283637762), (5424, 8.893288031686097e-05), (5425, 0.00031014540581963956), (5426, 8.904889546101913e-05)];[(5296, 255), (5297, 255), (5298, 255), (5360, 255), (5361, 255), (5362, 255), (5424, 255), (5425, 255), (5426, 255)];64;176;False
20170626-104734-627;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104734-627_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104734-627_painted.png;False;0;[];5000;1;-0.19337314367294312;0.45442691445350647;0.47859853506088257;0.49551868438720703;0.5124388337135315;1.8;0.08585853679738754;0.47859853506088257;11264;-;-;9;[(8336, 3.130848926957697e-05), (8337, 9.714784391690046e-05), (8338, 2.0822462829528376e-05), (8400, 0.00010965794353978708), (8401, 0.0002324300876352936), (8402, 9.106368815992028e-05), (8464, 3.162679786328226e-05), (8465, 9.829515329329297e-05), (8466, 2.2743312001693994e-05)];[(8336, 255), (8337, 255), (8338, 255), (8400, 255), (8401, 255), (8402, 255), (8464, 255), (8465, 255), (8466, 255)];64;176;False
20170626-104831-349;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104831-349_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-104831-349_painted.png;True;0;[];5000;1;0.4133351147174835;0.42542093992233276;0.44717541337013245;0.4665127098560333;0.48101571202278137;1.8;0.0918918364138424;0.44717541337013245;11264;-;-;0;[];[];64;176;True
